STATE,2016,2017,2018
Alabama,3943082,3954378,3999057
Alaska,534585,534585,536033
Arizona,5082305,5164966,5284970
Arkansas,2391103,2417464,2145334
California,26199436,26777132,27039400
Colorado,4066580,4156138,4244713
Connecticut,2611007,2586994,2605612
Delaware,756328,770512,786504
Dist. of Col.,489831,521056,527731
Florida,14675160,15076358,15368695
Georgia,6975900,7060344,7168733
Hawaii,931703,951008,948417
Idaho,1160922,1190367,1252535
Illinois,8514644,8529404,8714788
Indiana,4553259,4553584,4589405
Iowa,2245640,2246829,2260271
Kansas,2030025,2029869,2149430
Kentucky,3031447,3019008,3032530
Louisiana,3395095,3425656,3425435
Maine,1021332,1032703,1040582
Maryland,4264875,4329503,4407973
Massachusetts,5040662,4935176,4944666
Michigan,7074674,7095778,7153645
Minnesota,3377910,3394815,3391057
Mississippi,2018862,2053924,2058036
Missouri,4249579,4274784,4272960
Montana,797145,807259,806204
Nebraska,1404479,1404479,1420317
Nevada,1872376,1918305,1983453
New Hampshire,1096234,1103624,1161665
New Jersey,6238436,6301363,6342876
New Mexico,1521785,1473262,1458433
New York,11947568,12185313,12194360
North Carolina,7267042,7389467,7509231
North Dakota,555935,561667,561333
Ohio,7974951,8011705,8032665
Oklahoma,2498178,2505989,2504253
Oregon,2855746,2910592,2930702
Pennsylvania,8996815,8964855,8991370
Rhode Island,753143,753202,756966
South Carolina,3746681,3810962,3846069
South Dakota,622663,628506,638428
Tennessee,5197904,5377653,5422429
Texas,15879876,17099340,17370383
Utah,1960366,1995377,2030644
Vermont,553670,560247,564892
Virginia,5912048,5926430,5929031
Washington,5635715,5768281,5909967
West Virginia,1159348,1148786,1136775
Wisconsin,4206770,4234793,4288171
Wyoming,421098,422465,419256
